CaseID,StructID,GM_ID,gm_file,gm_dt_sec,gm_unit,gm_scale,k_global_scale,qy_global_scale,mass_scale,damping_ratio,alpha_post,story_height_m,n_story,k1_scale,k2_scale,k3_scale,k4_scale,k5_scale,qy1_scale,qy2_scale,qy3_scale,qy4_scale,qy5_scale,K1_N_per_m,K2_N_per_m,K3_N_per_m,K4_N_per_m,K5_N_per_m,Qy1_N,Qy2_N,Qy3_N,Qy4_N,Qy5_N,floor_mass_kg,model_type,run_status,success,message,top_disp_max_m,max_story_drift,base_shear_max_N,analysis_time_sec
Case1667,Struct0834,EI,ground_motion/ei3.txt,0.02,g,1,1.2072,1.0567,1.1017,0.0751,0.0386,3.27,5,1.0855,0.8647,1.0268,1.0844,1.0582,1.1229,0.99,1.1497,1.1493,0.9308,235874808,172237863.6,185932944,176726836.8,153295084.8,4746273.72,3870692.1,4130619.17,3764842.46,2754013.81,275425,5-story shear model,pending,,,,,,
Case1668,Struct0834,NORTHRIDGE,ground_motion/northbridge.txt,0.02,g,1,1.2072,1.0567,1.1017,0.0751,0.0386,3.27,5,1.0855,0.8647,1.0268,1.0844,1.0582,1.1229,0.99,1.1497,1.1493,0.9308,235874808,172237863.6,185932944,176726836.8,153295084.8,4746273.72,3870692.1,4130619.17,3764842.46,2754013.81,275425,5-story shear model,pending,,,,,,
Case1669,Struct0835,EI,ground_motion/ei3.txt,0.02,g,1,0.8635,0.7936,0.8507,0.0619,0.0365,3.161,5,1.0554,1.1355,1.0365,1.0131,0.9317,0.9079,0.8907,1.0488,0.9592,1.1048,164040822,161783201.3,134252662.5,118099599.8,96542754,2882037.76,2615380.22,2829914.11,2359785.47,2454953.98,212675,5-story shear model,pending,,,,,,
Case1670,Struct0835,NORTHRIDGE,ground_motion/northbridge.txt,0.02,g,1,0.8635,0.7936,0.8507,0.0619,0.0365,3.161,5,1.0554,1.1355,1.0365,1.0131,0.9317,0.9079,0.8907,1.0488,0.9592,1.1048,164040822,161783201.3,134252662.5,118099599.8,96542754,2882037.76,2615380.22,2829914.11,2359785.47,2454953.98,212675,5-story shear model,pending,,,,,,
Case1671,Struct0836,EI,ground_motion/ei3.txt,0.02,g,1,1.0638,1.1241,1.0275,0.0316,0.0409,3.44,5,1.044,0.9502,0.9123,1.0675,0.9208,0.8913,0.8738,0.9846,1.1394,1.1258,199909296,166785755.4,145575711,153306877.5,117545644.8,4007641.32,3634282.75,3763082.12,3970478.57,3543432.98,256875,5-story shear model,pending,,,,,,
Case1672,Struct0836,NORTHRIDGE,ground_motion/northbridge.txt,0.02,g,1,1.0638,1.1241,1.0275,0.0316,0.0409,3.44,5,1.044,0.9502,0.9123,1.0675,0.9208,0.8913,0.8738,0.9846,1.1394,1.1258,199909296,166785755.4,145575711,153306877.5,117545644.8,4007641.32,3634282.75,3763082.12,3970478.57,3543432.98,256875,5-story shear model,pending,,,,,,
Case1673,Struct0837,EI,ground_motion/ei3.txt,0.02,g,1,1.2315,0.9994,0.9974,0.0266,0.0426,3.561,5,0.9482,0.9405,0.9534,0.8858,1.0259,0.8897,0.9098,0.9935,1.053,0.9155,210187494,191107248.8,176116815,147266464.5,151607502,3556664.72,3364240.24,3375873.26,3262341.42,2561861.96,249350,5-story shear model,pending,,,,,,
Case1674,Struct0837,NORTHRIDGE,ground_motion/northbridge.txt,0.02,g,1,1.2315,0.9994,0.9974,0.0266,0.0426,3.561,5,0.9482,0.9405,0.9534,0.8858,1.0259,0.8897,0.9098,0.9935,1.053,0.9155,210187494,191107248.8,176116815,147266464.5,151607502,3556664.72,3364240.24,3375873.26,3262341.42,2561861.96,249350,5-story shear model,pending,,,,,,
Case1675,Struct0838,EI,ground_motion/ei3.txt,0.02,g,1,0.9733,1.233,1.0945,0.0413,0.0143,3.055,5,1.0425,1.0682,1.0553,0.9496,0.8705,1.1035,1.0447,1.0653,1.0684,0.8692,182639745,171547044.9,154068523.5,124773166.8,101670918,5442462,4766025.87,4465950.66,4083745.32,3000826.08,273625,5-story shear model,pending,,,,,,
Case1676,Struct0838,NORTHRIDGE,ground_motion/northbridge.txt,0.02,g,1,0.9733,1.233,1.0945,0.0413,0.0143,3.055,5,1.0425,1.0682,1.0553,0.9496,0.8705,1.1035,1.0447,1.0653,1.0684,0.8692,182639745,171547044.9,154068523.5,124773166.8,101670918,5442462,4766025.87,4465950.66,4083745.32,3000826.08,273625,5-story shear model,pending,,,,,,
Case1677,Struct0839,EI,ground_motion/ei3.txt,0.02,g,1,0.8253,0.758,1.004,0.038,0.0322,3.492,5,0.9883,0.971,1.1084,0.8864,1.1289,1.0453,1.0497,0.8517,0.9135,0.9026,146815918.2,132225439.5,137214378,98758699.2,111801740.4,3169349.6,2943988.62,2195001.24,2146542.3,1915678.24,251000,5-story shear model,pending,,,,,,
Case1678,Struct0839,NORTHRIDGE,ground_motion/northbridge.txt,0.02,g,1,0.8253,0.758,1.004,0.038,0.0322,3.492,5,0.9883,0.971,1.1084,0.8864,1.1289,1.0453,1.0497,0.8517,0.9135,0.9026,146815918.2,132225439.5,137214378,98758699.2,111801740.4,3169349.6,2943988.62,2195001.24,2146542.3,1915678.24,251000,5-story shear model,pending,,,,,,
Case1679,Struct0840,EI,ground_motion/ei3.txt,0.02,g,1,1.1353,1.0812,0.92,0.0473,0.0108,3.152,5,1.029,1.0884,0.8677,0.9931,0.9045,1.1107,1.0793,0.9454,0.9862,0.8876,210280266,203883985.8,147764971.5,152207968.1,123225462,4803555.36,4317674.89,3475366.03,3305466.26,2687084.74,230000,5-story shear model,pending,,,,,,
Case1680,Struct0840,NORTHRIDGE,ground_motion/northbridge.txt,0.02,g,1,1.1353,1.0812,0.92,0.0473,0.0108,3.152,5,1.029,1.0884,0.8677,0.9931,0.9045,1.1107,1.0793,0.9454,0.9862,0.8876,210280266,203883985.8,147764971.5,152207968.1,123225462,4803555.36,4317674.89,3475366.03,3305466.26,2687084.74,230000,5-story shear model,pending,,,,,,
Case1681,Struct0841,EI,ground_motion/ei3.txt,0.02,g,1,1.1078,1.0504,1.169,0.0395,0.0332,3.224,5,1.0618,0.9381,1.1432,0.9825,1.132,0.876,0.964,1.1396,1.0103,0.9833,211727167.2,171472484.7,189965544,146935822.5,150483552,3680601.6,3746566.72,4069921.86,3289779.27,2892003.3,292250,5-story shear model,pending,,,,,,
